[Kavita] [2025-03-05 12:44:34.554 +01:00  44] [Information] API.Controllers.AccountController admin attempting to login from ::ffff:172.17.0.1
[Kavita] [2025-03-05 12:44:34.592 +01:00  44] [Information] API.Controllers.AccountController admin logged in at "2025-03-05T12:44:34.5907403+01:00"
[Kavita] [2025-03-05 12:44:34.610 +01:00  44] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /api/account/login responded 200 in 91.9785 ms
[Kavita] [2025-03-05 12:44:34.661 +01:00  43] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /hubs/messages/negotiate?negotiateVersion=1 responded 200 in 2.1633 ms
[Kavita] [2025-03-05 12:44:34.669 +01:00  44] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/device responded 200 in 10.7201 ms
[Kavita] [2025-03-05 12:44:34.682 +01:00  6] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/scrobbling/token-expired?provider=1 responded 200 in 23.4266 ms
[Kavita] [2025-03-05 12:44:34.682 +01:00  44] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/scrobbling/token-expired?provider=1 responded 200 in 9.4316 ms
[Kavita] [2025-03-05 12:44:34.700 +01:00  41] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/license/valid-license?forceCheck=false responded 200 in 41.6214 ms
[Kavita] [2025-03-05 12:44:34.701 +01:00  6] [Debug] API.Controllers.LibraryController Caching libraries for library_admin
[Kavita] [2025-03-05 12:44:34.704 +01:00  13] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/stream/dashboard?visibleOnly=true responded 200 in 39.9924 ms
[Kavita] [2025-03-05 12:44:34.727 +01:00  4] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/stream/dashboard?visibleOnly=true responded 200 in 68.2110 ms
[Kavita] [2025-03-05 12:44:34.742 +01:00  6] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/libraries responded 200 in 55.1844 ms
